,CIK,Name,Year,TOTAL ASSETS (U.S.$),COMMON EQUITY (U.S.$),MARKET CAPITALIZATION (U.S.$),NET SALES OR REVENUES (U.S.$),NET INCOME (U.S.$),EARNINGS PER SHARE,EARNINGS BEF INTEREST & TAXES,DIVIDEND YIELD - CLOSE,NET SALES/REVENUES -1YR ANN GR,NET INCOME - 1 YR ANNUAL GROWT,RETURN ON EQUITY - TOTAL (%),RETURN ON ASSETS,RETURN ON INVESTED CAPITAL,"SELLING, GENERAL & ADM / SALES",RESEARCH & DEVELOPMENT/SALES,OPERATING PROFIT MARGIN,TOTAL DEBT % TOTAL CAPITAL/STD,QUICK RATIO,CURRENT RATIO,"BRANDS, PATENTS - NET","BRANDS, PATENTS - ACCUM AMORT","BRANDS, PATENTS - GROSS",EMPLOYEES,EMPLOYEES - 1 YR ANNUAL GROWTH,SALES PER EMPLOYEE,ASSETS PER EMPLOYEE,CURRENT LIABILITIES-TOTAL,TOTAL LIABILITIES,TOTAL INVESTMENT RETURN,PRICE/BOOK VALUE RATIO - CLOSE,PRICE VOLATILITY,FOREIGN ASSETS % TOTAL ASSETS,FOREIGN SALES % TOTAL SALES,FOREIGN INCOME % TOTAL INCOME,FOREIGN RETURN ON ASSETS,FOREIGN INCOME MARGIN,EXPORTS,PROVSION FOR RISKS & CHARGES,WORKING CAPITAL,RETAINED EARNINGS,ACCOUNTS PAYABLE/SALES,CASH FLOW/SALES,COST OF GOODS SOLD/SALES,TobinQ,AltmanZ
0,22470,COMMERCIAL INTERTECH CORPORATION,1992,349999,96963,193238,450608,17436,0.647,29626,3.49,3.12,57.04,13.83,6.3,9.71,18.51,4.3,6.98,46.02,0.9,1.52,,,,3850,-3.75,117,91,111292,228150,18.71,1.99,23.25,41.3,53.25,66.29,14.43,8.7,,15792,57721,69199,7.863,6.9,66.48,1.27507221449204,2.53679685814975
1,22470,COMMERCIAL INTERTECH CORPORATION,1993,347335,98179,195734,448577,14015,0.787,26346,3.49,-0.45,-19.62,12.2,5.11,7.99,18.81,4.26,5.85,44.16,0.94,1.55,,,,3720,-3.38,121,93,110199,224398,3.49,1.99,20.97,43.02,45.98,38.19,6.71,4.86,,19867,60766,75087,7.443,6.14,67.34,1.28086717434177,2.56482774258229
2,22470,COMMERCIAL INTERTECH CORPORATION,1994,422978,129129,283086,516931,25081,1.14,32755,2.56,15.24,78.96,20.22,7.36,11.96,18.7,4.2,7.56,39.43,1.09,1.74,,,,4484,20.54,115,94,134966,269218,46.94,2.19,21.75,38.75,43.83,21.85,5.21,3.77,,21188,100400,71541,8.606,5.21,66.06,1.36398346958943,2.61798603141583
3,22470,COMMERCIAL INTERTECH CORPORATION,1995,459856,158638,279841,621836,30383,1.82,46854,2.81,20.29,21.14,19.67,7.9,13.09,18.26,4.21,7.28,34.37,0.98,1.61,,,,4752,5.98,131,97,157174,276724,0.05,1.76,21.16,42.79,48.43,31.93,7.34,4.8,,23711,95846,94056,9.404,5.04,67.16,1.26356729063011,2.81816679941207
4,22470,COMMERCIAL INTERTECH CORPORATION,1996,337116,62989,184749,465209,17395,1.27,30821,3.96,-25.19,-42.75,13.84,5.52,9.5,15.05,4.04,7.61,52.64,0.97,1.64,,,,3340,-29.71,139,101,116223,249955,60.91,2.93,26.41,42.3,45.74,19.53,4.85,3.25,,24822,74180,67808,11.102,7.32,70.6,1.36118131444369,2.65699861745531
5,22470,COMMERCIAL INTERTECH CORPORATION,1997,384798,80916,293097,526624,26791,1.72,50811,2.6,13.2,54.02,34.6,9.31,16.68,15.86,1.33,9.26,53.03,0.86,1.49,,,,3805,13.92,138,101,127345,281968,56.26,3.62,27.01,50.63,44.66,32.37,8.1,6.71,,25007,62651,85884,9.947,7.33,70.53,1.55140879110598,2.92216752544922
6,22470,COMMERCIAL INTERTECH CORPORATION,1998,409225,108881,184627,576449,32807,1.9,59514,4.52,9.46,22.46,32.63,9.93,17.09,14,1.2,9.58,46.24,1,1.69,,,,3904,2.6,148,105,122959,278813,-34.83,1.72,28.37,49.47,43.08,28.12,7.67,6.25,,25210,85144,109289,8.829,8.25,72.32,1.18509621846172,2.89534796925939
7,22470,COMMERCIAL INTERTECH CORPORATION,1999,402010,115177,187363,534994,19780,1.14,40695,4.71,-7.19,-39.71,16.06,6.32,10.55,12.29,3.55,8.59,44.07,0.96,1.67,,,,3836,-1.74,139,105,114810,266063,3.18,1.65,27.53,15.85,42.48,,,,,28372,77035,119224,9.199,6.58,72.28,1.17956269744533,2.71921525956421
8,22470,COMMERCIAL INTERTECH CORPORATION,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22470,COMMERCIAL INTERTECH CORPORATION,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22470,COMMERCIAL INTERTECH CORPORATION,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22470,COMMERCIAL INTERTECH CORPORATION,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,22470,COMMERCIAL INTERTECH CORPORATION,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22470,COMMERCIAL INTERTECH CORPORATION,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22470,COMMERCIAL INTERTECH CORPORATION,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,22470,COMMERCIAL INTERTECH CORPORATION,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22470,COMMERCIAL INTERTECH CORPORATION,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,22470,COMMERCIAL INTERTECH CORPORATION,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,22470,COMMERCIAL INTERTECH CORPORATION,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,22470,COMMERCIAL INTERTECH CORPORATION,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,22470,COMMERCIAL INTERTECH CORPORATION,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22470,COMMERCIAL INTERTECH CORPORATION,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22470,COMMERCIAL INTERTECH CORPORATION,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,22470,COMMERCIAL INTERTECH CORPORATION,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22470,COMMERCIAL INTERTECH CORPORATION,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22470,COMMERCIAL INTERTECH CORPORATION,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,22470,COMMERCIAL INTERTECH CORPORATION,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,22470,COMMERCIAL INTERTECH CORPORATION,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
