,NAME,ISO COUNTRY CODE,RETURN ON EQUITY - TOTAL (%),TOTAL DEBT % COMMON EQUITY,RESEARCH & DEVELOPMENT/SALES -,ACCOUNTING STANDARDS FOLLOWED
0,APPLE,US,55.92,119.4,4.95,US standards (GAAP)
1,SAUDI ARABIAN OIL,SA,32.25,16.96,,IFRS
2,MICROSOFT,US,40.14,61.56,13.59,US standards (GAAP)
3,AMAZON.COM,US,21.95,83.31,12.29,US standards (GAAP)
4,FACEBOOK CLASS A,US,19.96,0.47,21.0,US standards (GAAP)
5,TENCENT HOLDINGS,HK,24.68,53.74,7.72,IFRS
6,ALPHABET A,US,18.12,2.26,15.71,US standards (GAAP)
7,TESLA,US,-14.94,202.77,10.73,US standards (GAAP)
8,WALMART,US,20.22,72.95,,US standards (GAAP)
9,JOHNSON & JOHNSON,US,25.36,46.57,13.28,US standards (GAAP)
10,TAIWAN SEMICON.MNFG.,TW,20.94,11.89,8.08,IFRS
11,NESTLE 'N',CH,23.05,71.42,1.88,IFRS
12,PROCTER & GAMBLE,US,27.78,76.1,2.79,US standards (GAAP)
13,VISA 'A',US,40.34,57.25,,US standards (GAAP)
14,MASTERCARD,US,143.83,144.7,,US standards (GAAP)
15,NVIDIA,US,25.95,16.31,22.49,US standards (GAAP)
16,3I GROUP,GB,2.73,7.67,,IFRS
17,JP MORGAN CHASE & CO.,US,14.91,220.24,,US standards (GAAP)
18,HOME DEPOT,US,,-1010.37,,US standards (GAAP)
19,KWEICHOW MOUTAI 'A',CN,33.12,9.14,0.85,Local standards
20,SAMSUNG ELECTRONICS,KR,8.69,7.22,7.39,IFRS
21,UNITEDHEALTH GROUP,US,25.4,71.33,,US standards (GAAP)
22,ROCHE HOLDING,CH,44.71,47.58,19.38,IFRS
23,VERIZON COMMUNICATIONS,US,33.64,181.59,,US standards (GAAP)
24,LVMH,FR,20.82,68.97,0.28,IFRS
25,NETFLIX,US,29.12,204.38,8.73,US standards (GAAP)
26,ADOBE (NAS),US,29.67,39.3,17.15,US standards (GAAP)
27,TOYOTA MOTOR,JP,10.45,102.45,3.66,US standards (GAAP)
28,PAYPAL HOLDINGS,US,15.24,29.48,8.49,US standards (GAAP)
29,SALESFORCE.COM,US,0.51,9.04,14.76,US standards (GAAP)
