NAME;Board member compensation;Total CO2 To Revenues;Emission Reduction Target %
APPLE;2832025;3.13;NA
SAUDI ARABIAN OIL;3220550.15;175.59;NA
MICROSOFT;4336000;29.16;75
AMAZON.COM;6567669;40.14;50
ALIBABA GROUP HOLDING ADR 1:8;NA;NA;NA
FACEBOOK CLASS A;2291182;25.69;75
TENCENT HOLDINGS;2681758.8;15.81;NA
ALPHABET A;50294471;32.22;50
TESLA;17315009;NA;NA
TAIWAN SEMICON.MNFG.;12584165.55;245.17;18
NESTLE 'N';12906002.11;58.52;35
NVIDIA;NA;7.1;25
SAMSUNG ELECTRONICS;NA;69.06;70
JP MORGAN CHASE & CO.;4460719;6.69;50
KWEICHOW MOUTAI 'A';40219.2;NA;NA
NETFLIX;3665870;NA;NA
