Type;NAME;ISO COUNTRY CODE;RETURN ON EQUITY - TOTAL (%);TOTAL DEBT % COMMON EQUITY;RESEARCH & DEVELOPMENT/SALES -;INDUSTRY GROUP;ACCOUNTING STANDARDS FOLLOWED;CSR Sustainability External Audit;Audit Committee;CSR Sustainability Committee
@AAPL;APPLE;US;55.92;119.4;4.95;34;US standards (GAAP);Y;Y;Y
SA:ARO;SAUDI ARABIAN OIL;SA;32.25;16.96;NA;97;IFRS;NA;Y;Y
@MSFT;MICROSOFT;US;40.14;61.56;13.59;58;US standards (GAAP);NA;Y;Y
@AMZN;AMAZON.COM;US;21.95;83.31;12.29;87;US standards (GAAP);Y;Y;Y
@FB;FACEBOOK CLASS A;US;19.96;0.47;21;151;US standards (GAAP);Y;Y;Y
K:TCNT;TENCENT HOLDINGS;HK;24.68;53.74;7.72;151;IFRS;NA;Y;Y
@GOOGL;ALPHABET A;US;18.12;2.26;15.71;151;US standards (GAAP);Y;Y;Y
@TSLA;TESLA;US;-14.94;202.77;10.73;65;US standards (GAAP);NA;Y;N
U:WMT;WALMART;US;20.22;72.95;NA;87;US standards (GAAP);N;Y;Y
U:JNJ;JOHNSON & JOHNSON;US;25.36;46.57;13.28;95;US standards (GAAP);Y;Y;Y
TW:TSM;TAIWAN SEMICON.MNFG.;TW;20.94;11.89;8.08;130;IFRS;Y;Y;Y
S:NESN;NESTLE 'N';CH;23.05;71.42;1.88;71;IFRS;Y;Y;Y
U:PG;PROCTER & GAMBLE;US;27.78;76.1;2.79;48;US standards (GAAP);NA;Y;Y
U:V;VISA 'A';US;40.34;57.25;NA;261;US standards (GAAP);Y;Y;Y
U:MA;MASTERCARD;US;143.83;144.7;NA;261;US standards (GAAP);Y;Y;N
@NVDA;NVIDIA;US;25.95;16.31;22.49;130;US standards (GAAP);Y;Y;Y
U:JPM;JP MORGAN CHASE & CO.;US;14.91;220.24;NA;113;US standards (GAAP);NA;Y;Y
U:HD;HOME DEPOT;US;NA;-1010.37;NA;85;US standards (GAAP);NA;Y;Y
CN:KCM;KWEICHOW MOUTAI 'A';CN;33.12;9.14;0.85;68;Local standards;NA;N;N
KO:SGL;SAMSUNG ELECTRONICS;KR;8.69;7.22;7.39;34;IFRS;Y;Y;Y
U:UNH;UNITEDHEALTH GROUP;US;25.4;71.33;NA;221;US standards (GAAP);Y;Y;Y
S:ROG;ROCHE HOLDING;CH;44.71;47.58;19.38;95;IFRS;Y;Y;Y
U:VZ;VERIZON COMMUNICATIONS;US;33.64;181.59;NA;142;US standards (GAAP);Y;Y;Y
F:LVMH;LVMH;FR;20.82;68.97;0.28;69;IFRS;Y;Y;Y
@NFLX;NETFLIX;US;29.12;204.38;8.73;115;US standards (GAAP);NA;Y;N
@ADBE;ADOBE (NAS);US;29.67;39.3;17.15;58;US standards (GAAP);Y;Y;Y
@PYPL;PAYPAL HOLDINGS;US;15.24;29.48;8.49;261;US standards (GAAP);NA;Y;Y
U:CRM;SALESFORCE.COM;US;0.51;9.04;14.76;58;US standards (GAAP);Y;Y;N
J:TYMO;TOYOTA MOTOR;JP;10.45;102.45;3.66;65;US standards (GAAP);Y;N;Y
U:BAC;BANK OF AMERICA;US;10.73;178.19;NA;102;US standards (GAAP);Y;Y;Y
U:KO;COCA COLA;US;49.61;225.29;NA;114;US standards (GAAP);Y;Y;Y
@INTC;INTEL;US;27.58;37.34;20.38;130;US standards (GAAP);Y;Y;Y
U:DIS;WALT DISNEY;US;16.06;52.87;NA;115;US standards (GAAP);NA;Y;Y
S:NOVN;NOVARTIS 'R';CH;17.8;52.54;16.9;95;IFRS;Y;Y;Y
U:T;AT&T;US;7.55;88.56;0.9;142;US standards (GAAP);Y;Y;Y
U:BRK.A;BERKSHIRE HATHAWAY 'A';US;21.05;24.33;NA;133;US standards (GAAP);NA;Y;N
U:MRK;MERCK & COMPANY;US;37.42;101.69;20.05;95;US standards (GAAP);Y;Y;Y
D:SAP;SAP;DE;11.15;44.37;14.37;58;IFRS;Y;Y;Y
@CMCSA;COMCAST A;US;16.92;129.81;NA;257;US standards (GAAP);NA;Y;Y
U:PFE;PFIZER;US;25.73;82.61;15.11;95;US standards (GAAP);NA;Y;Y
U:PE;PARSLEY ENERGY CLASS A;US;3.09;37.97;NA;50;US standards (GAAP);NA;Y;Y
F:OR@F;L'OREAL;FR;13.31;9.81;3.3;262;IFRS;Y;Y;Y
@PEP;PEPSICO;US;49.92;216.88;1.14;114;US standards (GAAP);Y;Y;Y
U:ABT;ABBOTT LABORATORIES;US;11.97;56.59;7.28;95;US standards (GAAP);Y;Y;Y
CN:ITL;INDUSTRIAL & COML.BK.OF CHINA 'A';CN;13.05;137.28;NA;102;IFRS;Y;Y;Y
